Sample_ID,Product,Category,Production_Site,Collection_Date,Bacteriological_Result,Chemical_Result,Unit_of_Measure,Compliance_Status,Operator,Storage_Temperature,pH_Level,Batch_Number
SMPL-00068,SOUR CREAM,Dairy Product,marseille,01-08-2023,457.11,90.5156,,non-compliant,,2 degrees,5.26,BATCH-4068
SMPL-00069,Cottage Cheese,Condiment,toulouse,30.03.2020,981.04,1.6341,µg/l,,johnson r.,2°,6.23,BATCH-3868
SMPL-00070,Orange Juice ,processed food,Bordeaux,06.01.2024,36.98,79.113,ΜG/L,,BROWN C.,,4.46,BATCH-1783
SMPL-00071,Semi-Skimmed Milk,Dietary Supplement,TOULOUSE,19.06.2022,339.04,69.2099,PPM,Compliant,,6 C,6.23,BATCH-2311
SMPL-00072, Penicillin G,Processed Food,BORDEAUX,06-28-2022,447.13,91.1616,CFU/ML,Compliant,WILLIAMS P.,,6.9,BATCH-3339
SMPL-00073,,Pharmaceutical,MARSEILLE,01-20-2022,382.85,60.5134,ΜG/L,Under Review,miller s.,6°,5.49,BATCH-5089
SMPL-00063, Tetracycline,Beverage,strasbourg,12.12.2023,214.57,69.4011,g/L,Non-Compliant,brown c.,7,8.49,BATCH-6236
SMPL-00075, Probiotic B-24,DIETARY SUPPLEMENT,BORDEAUX,2023-12-24,793.7,12.145,g/l,Under Review,JOHNSON R.,5 degrees,4.15,BATCH-2077
SMPL-00076,Apple Juice ,Condiment,TOULOUSE,2020-05-31,972.38,45.0029,µg/l,non-compliant,Williams P.,8°C,6.09,BATCH-3653
SMPL-00077, Cottage Cheese,Dietary Supplement,Strasbourg,24-07-2023,274.45,61.4467,g / L,non-compliant,MILLER S.,8 degrees,3.71,TBD
SMPL-00078, Tomato Paste,Beverage,LILLE,01-22-2023,641.91,24.4953,CFU/ML,Under Review,martin j.,5,5.92,BATCH-3353
SMPL-00079,Apple Juice,,bordeaux,20-11-2022,106.18,12.261,g/L,COMPLIANT,,3 C,7.57,BATCH-6123
SMPL-00080,Probiotic L-12 ,BEVERAGE,Lille,03.07.2020,505.44,21.5223,MG/L,,BROWN C.,6°C,7.74,BATCH-5333
SMPL-00081,Cottage Cheese,Beverage,BRUSSELS,02-02-2021,553.22,50.4305,µg / L,compliant,,4°,6.29,BATCH-3363
SMPL-00082,Probiotic L-12,Dairy Product,BORDEAUX,13.11.2021,519.33,89.3142,PPM,Non-Compliant,MILLER S.,6°,6.04,BATCH-9025
SMPL-00083,Mayonnaise,DIETARY SUPPLEMENT,paris,04-10-2023,796.75,,,Non-Compliant,,3 degrees,6.65,BATCH-7229
SMPL-00084, Whole Milk,Processed Food,Marseille,06-22-2022,418.78,20.3971,ppm,compliant,davis m.,6°,8.49,BATCH-7173
SMPL-00085, Peanut Butter,,STRASBOURG,2022-09-18,957.34,29.8569,ΜG/L,Non-Compliant,,4 degrees,8.17,BATCH-5480
SMPL-00086,Probiotic B-24 ,BEVERAGE,bordeaux,03-27-2020,955.31,92.4017,cfu/ml,,SMITH K.,3°C,6.58,BATCH-4972
SMPL-00087,Sour  Cream,Pharmaceutical,paris,07.11.2021,100.54,0.5281,g/L,Under Review,NGUYEN T.,4°,6.73,BATCH-2465
SMPL-00088,Apple  Juice,dairy product,Toulouse,15.03.2020,787.96,74.9028,µg/L,COMPLIANT,,4°,5.77,BATCH-9590
SMPL-00089, Mustard,BEVERAGE,Marseille,2021-11-08,731.12,error,µg / L,non-compliant,,8,6.08,BATCH-2562
SMPL-00090,brie,DAIRY PRODUCT,Toulouse,07-03-2022,954.03,error,g/L,Compliant,smith k.,,6.01,BATCH-6095
SMPL-00091,MOZZARELLA,condiment,Marseille,2022-09-06,454.98,37.3687,CFU / mL,non-compliant,Miller S.,6,6.14,BATCH-2838
SMPL-00092,probiotic l-12,condiment,bordeaux,15-10-2024,441.84,71.6946,ppm,Compliant,,5 degrees,3.79,BATCH-6049
SMPL-00093,Mayonnaise,processed food,Brussels,02.04.2020,344.53,99.4124,mg/L,COMPLIANT,williams p.,8 C,7.33,BATCH-7887
SMPL-00094,Penicillin G,Beverage,PARIS,17-09-2023,132.99,11.8721,CFU / mL,non-compliant,Martin J.,4,6.87,BATCH-9715
SMPL-00095,PENICILLIN G,PHARMACEUTICAL,MARSEILLE,16/04/2024,32.22,61.4962,mg/l,Non-Compliant,Dupont A.,5 degrees,6.86,BATCH-5009
SMPL-00096, Sour Cream,Pharmaceutical,BORDEAUX,2021-08-15,815.79,31.8972,µg/l,pending,davis m.,5°,4.88,BATCH-3869
SMPL-00097,Tetracycline,Dietary Supplement,montreal,27.11.2023,408.26,18.3961,g/l,pending,Brown C.,6,8.34,BATCH-3196
SMPL-00098,Brie,Dairy Product,Nantes,2023-01-01,51.54,N/A,g / L,,,4°C,4.56,BATCH-2922
SMPL-00099,,processed food,Toulouse,02-04-2023,775.51,53.3697,ΜG/L,Under Review,,8°,8.07,N/A
SMPL-00100,PLAIN YOGURT,Condiment,Strasbourg,02-05-2021,230.02,24.5805,ΜG/L,Under Review,brown c.,7°,4.35,BATCH-9000
SMPL-00101,,Condiment,PARIS,09/04/2020,412.39,23.151,mg/l,UNDER REVIEW,,7,3.58,TBD
SMPL-00102,Mozzarella,Condiment,,16-07-2020,148.9,52.6503,ug/L,COMPLIANT,,6 C,8.45,BATCH-2320
SMPL-00103,Tomato Paste,Dairy Product,toulouse,05.02.2023,9999.0,8.2778,µg / L,,martin j.,,7.94,BATCH-1762
SMPL-00104, Cheddar Cheese,Condiment,bordeaux,2020-02-02,587.04,71.274,MG/L,,,7 degrees,5.16,BATCH-3292
SMPL-00105, Skimmed Milk,PROCESSED FOOD,Lyon,2022-06-14,838.67,76.9029,CFU/ML,COMPLIANT,,3°,6.27,BATCH-4043
SMPL-00106,Skimmed Milk,CONDIMENT,MARSEILLE,30/05/2020,267.97,78.3912,CFU/ML,Pending,Dupont A.,4,5.3,BATCH-3170
SMPL-00107, Probiotic B-24,Condiment,Paris,07-02-2020,554.22,78.446,MG/L,,dupont a.,6 degrees,4.35,BATCH-3274
SMPL-00108,Cream Cheese,Pharmaceutical,strasbourg,05.09.2021,782.67,94.4228,CFU / mL,Non-Compliant,dupont a.,4°C,8.24,BATCH-7224
SMPL-00109,Brie ,processed food,strasbourg,2023-05-20,479.01,39.83,CFU / mL,NON-COMPLIANT,WILLIAMS P.,8,5.33,BATCH-4273
SMPL-00110,Calcium Tablet,Condiment,LILLE,05.03.2021,797.69,6.9252,,under review,smith k.,,4.27,BATCH-7176
SMPL-00111, Tetracycline,Beverage,Montreal,06-07-2024,701.63,59.3861,mg/l,,Miller S.,,6.89,BATCH-6432
SMPL-00112,Plain Yogurt,,MONTREAL,28-11-2022,580.52,44.5834,,NON-COMPLIANT,,2°,5.58,BATCH-2901
SMPL-00113,COTTAGE CHEESE,Dietary Supplement,MARSEILLE,09-16-2022,476.16,69.6794,µg/L,Compliant,Johnson R.,7 C,8.15,BATCH-9454
SMPL-00114,Probiotic B-24 ,beverage,TOULOUSE,2021-01-12,640.48,2.9289,g/L,Under Review,martin j.,3°,7.26,BATCH-2025
SMPL-00115,probiotic b-24,DIETARY SUPPLEMENT,marseille,08-21-2020,670.7,96.592,CFU / mL,,DUPONT A.,4,6.59,BATCH-5873
SMPL-00116,calcium tablet,Dietary Supplement,marseille,2020-08-27,373.31,38.8524,ppm,under review,brown c.,6 C,5.95,BATCH-6154
SMPL-00117,MUSTARD,Dairy Product,Bordeaux,27.07.2024,963.83,49.502,,Under Review,Leroy B.,6°C,7.48,BATCH-1535
SMPL-00118,Butter,Beverage,MONTREAL,19-08-2020,114.21,82.33,,,,,7.65,BATCH-5877
SMPL-00050,Cottage Cheese,Dairy Product,Paris,05-03-2021,689.13,61.0301,ppm,non-compliant,,6°,6.48,BATCH-5794
SMPL-00120, Mustard,Processed Food,bordeaux,05-01-2020,867.05,86.6092,µg/l,Under Review,LEROY B.,7,5.38,BATCH-2525
SMPL-00121,ORANGE JUICE,,NANTES,06/01/2020,730.93,66.4177,mg / L,under review,williams p.,5°,5.11,BATCH-9967
SMPL-00122,Tetracycline,Dietary Supplement,Lyon,06.07.2023,16.28,15.8068,cfu/ml,NON-COMPLIANT,LEROY B.,,5.3,BATCH-3711
SMPL-00123,Apple  Juice,Pharmaceutical,PARIS,13/07/2020,213.42,59.372,CFU/mL,COMPLIANT,,7 C,5.89,BATCH-2463
SMPL-00124,BRIE,dietary supplement,Toulouse,2023-08-06,68.41,61.0358,,non-compliant,,8 C,3.93,BATCH-3017
SMPL-00125,AMOXICILLIN,pharmaceutical,STRASBOURG,2020-06-21,553.4,60.7632,,pending,davis m.,7,4.98,BATCH-4921
SMPL-00126,Tetracycline,Condiment,Montreal,01-09-2022,131.98,56.8424,g/L,Compliant,Miller S.,2°,4.58,BATCH-7520
SMPL-00127,Probiotic L-12,Beverage,Toulouse,04-08-2023,537.66,8.3689,g/l,Pending,Miller S.,,5.69,BATCH-4909
SMPL-00128,Amoxicillin,Beverage,STRASBOURG,2024-02-27,119.44,70.1529,µg / L,pending,johnson r.,7°,7.16,BATCH-1480
SMPL-00129,,Dietary Supplement,lille,11-12-2022,55.44,16.6965,mg / L,compliant,Davis M.,2°C,4.72,BATCH-7274
SMPL-00130,Mustard,Condiment,marseille,23.05.2021,915.85,82.6014,mg / L,compliant,Nguyen T.,5°C,7.88,BATCH-6090
SMPL-00131,PLAIN YOGURT,PHARMACEUTICAL,brussels,23-02-2024,242.58,97.1861,,non-compliant,,2 C,6.21,BATCH-1157
SMPL-00094,Bcg Vaccine,PROCESSED FOOD,,2022-12-21,419.82,97.2562,µg/L,,,7°,5.79,BATCH-2565
SMPL-00133,BCG Vaccine,Condiment,TOULOUSE,2020-09-24,291.68,92.6049,ΜG/L,UNDER REVIEW,Nguyen T.,3 C,7.4,BATCH-3546
SMPL-00134,Brie ,DAIRY PRODUCT,marseille,23.09.2021,265.01,15.77,ppm,NON-COMPLIANT,Leroy B.,7 C,8.34,BATCH-1802
SMPL-00135,Butter,,MONTREAL,2023-01-31,94.73,79.383,mg/l,non-compliant,WILLIAMS P.,,8.19,BATCH-5240
SMPL-00136,skimmed milk,,Bordeaux,10-01-2024,122.53,5.0733,,Under Review,,7,4.36,BATCH-4066
SMPL-00137,Cream Cheese,condiment,strasbourg,23-04-2022,479.03,38.3077,ppm,Compliant,,6,5.22,BATCH-6269
SMPL-00138, Brie,Pharmaceutical,Strasbourg,14.07.2024,529.43,99.9606,mg/l,NON-COMPLIANT,Davis M.,8 C,6.38,BATCH-7363
SMPL-00139,mustard,pharmaceutical,brussels,07-09-2024,-1.0,94.7564,ppm,,,5°C,3.95,
SMPL-00136,ketchup,dietary supplement,Nantes,2020-02-14,586.61,77.4389,µg/L,Pending,Miller S.,4°,5.11,BATCH-8157
SMPL-00141,IRON SUPPLEMENT,,MARSEILLE,2023-04-21,378.38,29.4588,,,martin j.,6°,8.11,BATCH-4619
SMPL-00142,tetracycline,Dietary Supplement,marseille,2021-10-16,636.19,82.168,ug/L,COMPLIANT,nguyen t.,7°C,5.25,
SMPL-00143,Butter ,Beverage,NANTES,07/02/2022,828.81,57.8098,g/l,Under Review,MARTIN J.,2°,4.81,BATCH-6600
SMPL-00144,Apple Juice,Condiment,NANTES,10.06.2023,704.5,65.367,cfu/ml,Compliant,,3,6.99,BATCH-9849
SMPL-00145,Sour Cream,Dairy Product,BRUSSELS,16.09.2024,153.59,42.7663,ppm,Non-Compliant,martin j.,,4.96,BATCH-2892
SMPL-00146,,Dietary Supplement,montreal,01-13-2021,885.49,44.5831,CFU/ML,NON-COMPLIANT,Miller S.,,6.84,BATCH-6632
SMPL-00147, Tomato Paste,Pharmaceutical,TOULOUSE,07-05-2022,687.07,57.2757,µg/L,Under Review,davis m.,2,4.36,BATCH-4471
SMPL-00148,Amoxicillin,Processed Food,MARSEILLE,29-10-2020,257.89,91.4183,CFU / mL,,JOHNSON R.,6,N/A,BATCH-2843
SMPL-00149,,Dairy Product,Brussels,05-28-2024,867.48,87.7906,CFU / mL,Under Review,LEROY B.,5 C,6.59,TBD
SMPL-00150,Whole  Milk,BEVERAGE,Nantes,11-22-2021,310.95,85.8249,g/l,Pending,JOHNSON R.,7,6.52,BATCH-8237
SMPL-00151,Apple Juice ,CONDIMENT,LYON,2024-06-08,65.62,40.3445,ppm,compliant,nguyen t.,8°C,4.75,BATCH-6904
SMPL-00152,Mayonnaise ,Condiment,,2020-03-03,372.47,17.7666,ppm,PENDING,,,,BATCH-3669
SMPL-00153,Heavy Cream,pharmaceutical,marseille,27.08.2023,513.28,96.7142,cfu/ml,,martin j.,4 degrees,7.53,BATCH-5511
SMPL-00154,Cottage Cheese ,,lille,18-10-2023,824.31,10.2402,µg / L,PENDING,,2°,8.44,BATCH-5536
SMPL-00155,Salad  Dressing,dietary supplement,BORDEAUX,2024-04-16,899.69,80.2384,,Non-Compliant,BROWN C.,4,5.52,BATCH-4111
SMPL-00156, Calcium Tablet,Processed Food,NANTES,2021-09-06,840.64,18.1218,,,LEROY B.,7°C,4.61,BATCH-6031
SMPL-00157,COTTAGE CHEESE,CONDIMENT,Lille,21/08/2022,866.39,94.4307,g / L,Compliant,DAVIS M.,5°C,7.85,BATCH-4281
SMPL-00158,Salad Dressing ,PHARMACEUTICAL,Bordeaux,09-25-2022,631.03,error,g/l,Non-Compliant,dupont a.,6,6.67,BATCH-8821
SMPL-00111,APPLE JUICE,DAIRY PRODUCT,Montreal,06/02/2020,626.69,69.3555,g/L,,MILLER S.,3°C,7.62,BATCH-5764
SMPL-00160,PROBIOTIC L-12,beverage,nantes,2022-01-05,164.88,nd,g/l,,davis m.,2°,7.06,BATCH-7147
SMPL-00161, Probiotic B-24,Dairy Product,PARIS,08/09/2024,48.24,44.437,ug/L,,MARTIN J.,,4.0,BATCH-3247
SMPL-00162,Probiotic  L-12,Condiment,Strasbourg,26/05/2024,497.74,77.7981,G/L,UNDER REVIEW,Leroy B.,6,8.05,BATCH-8875
SMPL-00100,Peanut Butter,Condiment,Bordeaux,15-05-2024,75.05,90.4789,CFU/ML,Pending,Martin J.,8 C,7.87,BATCH-6901
SMPL-00164,Apple Juice,Dairy Product,Lyon,2023-09-20,328.66,95.5094,MG/L,pending,,5,4.86,BATCH-8835
SMPL-00165,ketchup,dairy product,Lyon,31.07.2020,911.23,56.8987,ppm,,martin j.,5,4.06,BATCH-1753
SMPL-00166,Plain  Yogurt,processed food,NANTES,07-12-2022,95.24,24.8652,cfu/ml,Compliant,,8,7.85,BATCH-9055
SMPL-00167,Cheddar Cheese,condiment,MONTREAL,14.02.2022,817.1,44.4244,mg/L,UNDER REVIEW,,,3.59,BATCH-1587
SMPL-00117, Ketchup,CONDIMENT,MONTREAL,27.02.2021,950.36,5.437,CFU/ML,UNDER REVIEW,Brown C.,,4.61,BATCH-5783
SMPL-00169,,Pharmaceutical,BORDEAUX,29.02.2024,106.96,18.7625,cfu/ml,under review,Johnson R.,8,3.73,BATCH-3018
SMPL-00170, Calcium Tablet,condiment,Lille,22/12/2022,553.23,58.5162,,non-compliant,,7 degrees,6.53,BATCH-7302
SMPL-00171,Orange Juice,PHARMACEUTICAL,toulouse,25.08.2021,804.8,60.2564,PPM,,nguyen t.,3 degrees,7.07,BATCH-3173
SMPL-00172,,CONDIMENT,paris,25.02.2023,582.81,71.0153,PPM,Under Review,Davis M.,2,4.23,BATCH-4275
SMPL-00173,Mozzarella,dietary supplement,,05-25-2024,204.0,35.8747,,,williams p.,,4.94,BATCH-7251
SMPL-00174,CALCIUM TABLET,Condiment,LYON,2021-05-29,620.56,87.0131,µg / L,non-compliant,,,3.87,BATCH-9418
SMPL-00130,PROBIOTIC B-24,pharmaceutical,brussels,01-12-2020,466.33,4.0037,ppm,Pending,MILLER S.,,5.09,BATCH-4012
SMPL-00176,Butter ,Condiment,paris,2021-03-29,663.33,29.3645,ppm,,Martin J.,7°,5.73,BATCH-4994
SMPL-00177,Brie ,Dairy Product,STRASBOURG,01-22-2024,24.71,77.0517,ppm,Under Review,smith k.,4 degrees,3.91,BATCH-9814
SMPL-00178,Heavy  Cream,processed food,,25-02-2021,828.75,74.1401,,Non-Compliant,BROWN C.,2°C,3.87,BATCH-5127
SMPL-00179,SOUR CREAM,Beverage,LILLE,08.04.2022,316.4,,,Compliant,Johnson R.,,5.01,BATCH-8170
SMPL-00180,Plain Yogurt ,pharmaceutical,BORDEAUX,11-03-2022,294.98,29.8127,µg/L,Non-Compliant,Martin J.,6 degrees,5.47,BATCH-2394
SMPL-00181,Salad  Dressing,dietary supplement,TOULOUSE,09-10-2024,142.46,61.6923,mg/l,,Brown C.,,3.84,BATCH-8982
SMPL-00182,Calcium  Tablet,Pharmaceutical,STRASBOURG,2020-05-22,317.79,61.6381,ppm,PENDING,williams p.,2°,4.73,BATCH-8145
SMPL-00183,Calcium  Tablet,Dietary Supplement,lille,01-04-2022,486.97,64.5587,µg/l,NON-COMPLIANT,,2 degrees,6.66,BATCH-7637
SMPL-00184, Whole Milk,Dietary Supplement,bordeaux,2022-03-14,891.44,85.7178,ppm,Compliant,Johnson R.,7 C,7.74,BATCH-3717
SMPL-00185,butter,condiment,lille,2020-03-23,761.47,26.4431,g / L,Pending,,2°C,8.4,BATCH-9542
SMPL-00186,APPLE JUICE,condiment,TOULOUSE,02-14-2022,587.68,7.793,g / L,UNDER REVIEW,,8,-1,BATCH-8207
SMPL-00187,IRON SUPPLEMENT,pharmaceutical,Bordeaux,11-01-2022,717.3,23.0423,mg/L,,nguyen t.,7,3.61,BATCH-3639
SMPL-00188, Salad Dressing,Pharmaceutical,bordeaux,03-01-2021,958.24,error,mg/l,,,3 C,7.65,BATCH-3979
SMPL-00189,Butter,PROCESSED FOOD,LILLE,24/04/2023,229.81,10.8659,,under review,Miller S.,3,8.01,BATCH-9706
SMPL-00190,Tetracycline,Pharmaceutical,,05-11-2022,874.82,42.9013,CFU/mL,,Miller S.,5 C,4.77,BATCH-2373
