Sample_ID,Product,Category,Production_Site,Collection_Date,Bacteriological_Result,Chemical_Result,Unit_of_Measure,Compliance_Status,Operator,Storage_Temperature,pH_Level,Batch_Number
SMPL-00064,Cream Cheese,Dietary Supplement,Montreal,2024-06-09,37.75,76.6331,CFU/mL,Non-Compliant,Miller S.,7.0,3.72,BATCH-4891
SMPL-00065,Tomato  Paste,Beverage,Montreal,2021-09-25,903.97,67.8339,CFU/mL,Pending,Unknown,3.0,7.51,BATCH-5096
SMPL-00066,Cottage Cheese,Dairy Product,Strasbourg,2024-04-11,272.79,14.7434,g/L,Unknown,Williams P.,5.0,5.37,BATCH-2337
SMPL-00068,Sour Cream,Dairy Product,Marseille,2023-01-08,457.11,90.5156,Unknown,Non-Compliant,Unknown,2.0,5.26,BATCH-4068
SMPL-00069,Cottage Cheese,Condiment,Toulouse,2020-03-30,981.04,1.6341,µg/L,Unknown,Johnson R.,2.0,6.23,BATCH-3868
SMPL-00070,Orange Juice,Processed Food,Bordeaux,2024-01-06,36.98,79.113,ΜG/L,Unknown,Brown C.,5.0,4.46,BATCH-1783
SMPL-00071,Semi-Skimmed Milk,Dietary Supplement,Toulouse,2022-06-19,339.04,69.2099,ppm,Compliant,Unknown,6.0,6.23,BATCH-2311
SMPL-00072,Penicillin G,Processed Food,Bordeaux,2022-06-28,447.13,91.1616,CFU/ML,Compliant,Williams P.,5.0,6.9,BATCH-3339
SMPL-00073,Unknown,Pharmaceutical,Marseille,2022-01-20,382.85,60.5134,ΜG/L,Under Review,Miller S.,6.0,5.49,BATCH-5089
SMPL-00075,Probiotic B-24,Dietary Supplement,Bordeaux,2023-12-24,793.7,12.145,g/L,Under Review,Johnson R.,5.0,4.15,BATCH-2077
SMPL-00076,Apple Juice,Condiment,Toulouse,2020-05-31,972.38,45.0029,µg/L,Non-Compliant,Williams P.,8.0,6.09,BATCH-3653
SMPL-00077,Cottage Cheese,Dietary Supplement,Strasbourg,2023-07-24,274.45,61.4467,g / L,Non-Compliant,Miller S.,8.0,3.71,TBD
SMPL-00078,Tomato Paste,Beverage,Lille,2023-01-22,641.91,24.4953,CFU/ML,Under Review,Martin J.,5.0,5.92,BATCH-3353
SMPL-00079,Apple Juice,Unknown,Bordeaux,2022-11-20,106.18,12.261,g/L,Compliant,Unknown,3.0,7.57,BATCH-6123
SMPL-00080,Probiotic L-12,Beverage,Lille,2020-07-03,505.44,21.5223,mg/L,Unknown,Brown C.,6.0,7.74,BATCH-5333
SMPL-00081,Cottage Cheese,Beverage,Brussels,2021-02-02,553.22,50.4305,µg / L,Compliant,Unknown,4.0,6.29,BATCH-3363
SMPL-00082,Probiotic L-12,Dairy Product,Bordeaux,2021-11-13,519.33,89.3142,ppm,Non-Compliant,Miller S.,6.0,6.04,BATCH-9025
SMPL-00083,Mayonnaise,Dietary Supplement,Paris,2023-04-10,796.75,50.4388,Unknown,Non-Compliant,Unknown,3.0,6.65,BATCH-7229
SMPL-00084,Whole Milk,Processed Food,Marseille,2022-06-22,418.78,20.3971,ppm,Compliant,Davis M.,6.0,8.49,BATCH-7173
SMPL-00085,Peanut Butter,Unknown,Strasbourg,2022-09-18,957.34,29.8569,ΜG/L,Non-Compliant,Unknown,4.0,8.17,BATCH-5480
SMPL-00086,Probiotic B-24,Beverage,Bordeaux,2020-03-27,955.31,92.4017,CFU/mL,Unknown,Smith K.,3.0,6.58,BATCH-4972
SMPL-00087,Sour  Cream,Pharmaceutical,Paris,2021-11-07,100.54,0.5281,g/L,Under Review,Nguyen T.,4.0,6.73,BATCH-2465
SMPL-00088,Apple  Juice,Dairy Product,Toulouse,2020-03-15,787.96,74.9028,µg/L,Compliant,Unknown,4.0,5.77,BATCH-9590
SMPL-00089,Mustard,Beverage,Marseille,2021-11-08,731.12,50.4388,µg / L,Non-Compliant,Unknown,8.0,6.08,BATCH-2562
SMPL-00090,Brie,Dairy Product,Toulouse,2022-07-03,954.03,50.4388,g/L,Compliant,Smith K.,5.0,6.01,BATCH-6095
SMPL-00091,Mozzarella,Condiment,Marseille,2022-09-06,454.98,37.3687,CFU / mL,Non-Compliant,Miller S.,6.0,6.14,BATCH-2838
SMPL-00092,Probiotic L-12,Condiment,Bordeaux,2024-10-15,441.84,71.6946,ppm,Compliant,Unknown,5.0,3.79,BATCH-6049
SMPL-00093,Mayonnaise,Processed Food,Brussels,2020-04-02,344.53,99.4124,mg/L,Compliant,Williams P.,8.0,7.33,BATCH-7887
SMPL-00094,Penicillin G,Beverage,Paris,2023-09-17,132.99,11.8721,CFU / mL,Non-Compliant,Martin J.,4.0,6.87,BATCH-9715
SMPL-00095,Penicillin G,Pharmaceutical,Marseille,2024-04-16,32.22,61.4962,mg/L,Non-Compliant,Dupont A.,5.0,6.86,BATCH-5009
SMPL-00096,Sour Cream,Pharmaceutical,Bordeaux,2021-08-15,815.79,31.8972,µg/L,Pending,Davis M.,5.0,4.88,BATCH-3869
SMPL-00097,Tetracycline,Dietary Supplement,Montreal,2023-11-27,408.26,18.3961,g/L,Pending,Brown C.,6.0,8.34,BATCH-3196
SMPL-00098,Brie,Dairy Product,Nantes,2023-01-01,51.54,50.4388,g / L,Unknown,Unknown,4.0,4.56,BATCH-2922
SMPL-00099,Unknown,Processed Food,Toulouse,2023-02-04,775.51,53.3697,ΜG/L,Under Review,Unknown,8.0,8.07,Unknown
SMPL-00100,Plain Yogurt,Condiment,Strasbourg,2021-02-05,230.02,24.5805,ΜG/L,Under Review,Brown C.,7.0,4.35,BATCH-9000
SMPL-00101,Unknown,Condiment,Paris,2020-04-09,412.39,23.151,mg/L,Under Review,Unknown,7.0,3.58,TBD
SMPL-00102,Mozzarella,Condiment,Unknown,2020-07-16,148.9,52.6503,µg/L,Compliant,Unknown,6.0,8.45,BATCH-2320
SMPL-00103,Tomato Paste,Dairy Product,Toulouse,2023-02-05,501.05,8.2778,µg / L,Unknown,Martin J.,5.0,7.94,BATCH-1762
SMPL-00104,Cheddar Cheese,Condiment,Bordeaux,2020-02-02,587.04,71.274,mg/L,Unknown,Unknown,7.0,5.16,BATCH-3292
SMPL-00105,Skimmed Milk,Processed Food,Lyon,2022-06-14,838.67,76.9029,CFU/ML,Compliant,Unknown,3.0,6.27,BATCH-4043
SMPL-00106,Skimmed Milk,Condiment,Marseille,2020-05-30,267.97,78.3912,CFU/ML,Pending,Dupont A.,4.0,5.3,BATCH-3170
SMPL-00107,Probiotic B-24,Condiment,Paris,2020-07-02,554.22,78.446,mg/L,Unknown,Dupont A.,6.0,4.35,BATCH-3274
SMPL-00108,Cream Cheese,Pharmaceutical,Strasbourg,2021-09-05,782.67,94.4228,CFU / mL,Non-Compliant,Dupont A.,4.0,8.24,BATCH-7224
SMPL-00109,Brie,Processed Food,Strasbourg,2023-05-20,479.01,39.83,CFU / mL,Non-Compliant,Williams P.,8.0,5.33,BATCH-4273
SMPL-00110,Calcium Tablet,Condiment,Lille,2021-03-05,797.69,6.9252,Unknown,Under Review,Smith K.,5.0,4.27,BATCH-7176
SMPL-00111,Tetracycline,Beverage,Montreal,2024-06-07,701.63,59.3861,mg/L,Unknown,Miller S.,5.0,6.89,BATCH-6432
SMPL-00112,Plain Yogurt,Unknown,Montreal,2022-11-28,580.52,44.5834,Unknown,Non-Compliant,Unknown,2.0,5.58,BATCH-2901
SMPL-00113,Cottage Cheese,Dietary Supplement,Marseille,2022-09-16,476.16,69.6794,µg/L,Compliant,Johnson R.,7.0,8.15,BATCH-9454
SMPL-00114,Probiotic B-24,Beverage,Toulouse,2021-01-12,640.48,2.9289,g/L,Under Review,Martin J.,3.0,7.26,BATCH-2025
SMPL-00115,Probiotic B-24,Dietary Supplement,Marseille,2020-08-21,670.7,96.592,CFU / mL,Unknown,Dupont A.,4.0,6.59,BATCH-5873
SMPL-00116,Calcium Tablet,Dietary Supplement,Marseille,2020-08-27,373.31,38.8524,ppm,Under Review,Brown C.,6.0,5.95,BATCH-6154
SMPL-00117,Mustard,Dairy Product,Bordeaux,2024-07-27,963.83,49.502,Unknown,Under Review,Leroy B.,6.0,7.48,BATCH-1535
SMPL-00118,Butter,Beverage,Montreal,2020-08-19,114.21,82.33,Unknown,Unknown,Unknown,5.0,7.65,BATCH-5877
SMPL-00120,Mustard,Processed Food,Bordeaux,2020-05-01,867.05,86.6092,µg/L,Under Review,Leroy B.,7.0,5.38,BATCH-2525
SMPL-00121,Orange Juice,Unknown,Nantes,2020-01-06,730.93,66.4177,mg / L,Under Review,Williams P.,5.0,5.11,BATCH-9967
SMPL-00122,Tetracycline,Dietary Supplement,Lyon,2023-07-06,16.28,15.8068,CFU/mL,Non-Compliant,Leroy B.,5.0,5.3,BATCH-3711
SMPL-00123,Apple  Juice,Pharmaceutical,Paris,2020-07-13,213.42,59.372,CFU/mL,Compliant,Unknown,7.0,5.89,BATCH-2463
SMPL-00124,Brie,Dietary Supplement,Toulouse,2023-08-06,68.41,61.0358,Unknown,Non-Compliant,Unknown,8.0,3.93,BATCH-3017
SMPL-00125,Amoxicillin,Pharmaceutical,Strasbourg,2020-06-21,553.4,60.7632,Unknown,Pending,Davis M.,7.0,4.98,BATCH-4921
SMPL-00126,Tetracycline,Condiment,Montreal,2022-01-09,131.98,56.8424,g/L,Compliant,Miller S.,2.0,4.58,BATCH-7520
SMPL-00127,Probiotic L-12,Beverage,Toulouse,2023-04-08,537.66,8.3689,g/L,Pending,Miller S.,5.0,5.69,BATCH-4909
SMPL-00128,Amoxicillin,Beverage,Strasbourg,2024-02-27,119.44,70.1529,µg / L,Pending,Johnson R.,7.0,7.16,BATCH-1480
SMPL-00129,Unknown,Dietary Supplement,Lille,2022-11-12,55.44,16.6965,mg / L,Compliant,Davis M.,2.0,4.72,BATCH-7274
SMPL-00130,Mustard,Condiment,Marseille,2021-05-23,915.85,82.6014,mg / L,Compliant,Nguyen T.,5.0,7.88,BATCH-6090
SMPL-00131,Plain Yogurt,Pharmaceutical,Brussels,2024-02-23,242.58,97.1861,Unknown,Non-Compliant,Unknown,2.0,6.21,BATCH-1157
SMPL-00133,Bcg Vaccine,Condiment,Toulouse,2020-09-24,291.68,92.6049,ΜG/L,Under Review,Nguyen T.,3.0,7.4,BATCH-3546
SMPL-00134,Brie,Dairy Product,Marseille,2021-09-23,265.01,15.77,ppm,Non-Compliant,Leroy B.,7.0,8.34,BATCH-1802
SMPL-00135,Butter,Unknown,Montreal,2023-01-31,94.73,79.383,mg/L,Non-Compliant,Williams P.,5.0,8.19,BATCH-5240
SMPL-00136,Skimmed Milk,Unknown,Bordeaux,2024-10-01,122.53,5.0733,Unknown,Under Review,Unknown,7.0,4.36,BATCH-4066
SMPL-00137,Cream Cheese,Condiment,Strasbourg,2022-04-23,479.03,38.3077,ppm,Compliant,Unknown,6.0,5.22,BATCH-6269
SMPL-00138,Brie,Pharmaceutical,Strasbourg,2024-07-14,529.43,99.9606,mg/L,Non-Compliant,Davis M.,8.0,6.38,BATCH-7363
SMPL-00139,Mustard,Pharmaceutical,Brussels,2024-07-09,501.05,94.7564,ppm,Unknown,Unknown,5.0,3.95,Unknown
SMPL-00141,Iron Supplement,Unknown,Marseille,2023-04-21,378.38,29.4588,Unknown,Unknown,Martin J.,6.0,8.11,BATCH-4619
SMPL-00142,Tetracycline,Dietary Supplement,Marseille,2021-10-16,636.19,82.168,µg/L,Compliant,Nguyen T.,7.0,5.25,Unknown
SMPL-00143,Butter,Beverage,Nantes,2022-02-07,828.81,57.8098,g/L,Under Review,Martin J.,2.0,4.81,BATCH-6600
SMPL-00144,Apple Juice,Condiment,Nantes,2023-06-10,704.5,65.367,CFU/mL,Compliant,Unknown,3.0,6.99,BATCH-9849
SMPL-00145,Sour Cream,Dairy Product,Brussels,2024-09-16,153.59,42.7663,ppm,Non-Compliant,Martin J.,5.0,4.96,BATCH-2892
SMPL-00146,Unknown,Dietary Supplement,Montreal,2021-01-13,885.49,44.5831,CFU/ML,Non-Compliant,Miller S.,5.0,6.84,BATCH-6632
SMPL-00147,Tomato Paste,Pharmaceutical,Toulouse,2022-07-05,687.07,57.2757,µg/L,Under Review,Davis M.,2.0,4.36,BATCH-4471
SMPL-00148,Amoxicillin,Processed Food,Marseille,2020-10-29,257.89,91.4183,CFU / mL,Unknown,Johnson R.,6.0,5.99,BATCH-2843
SMPL-00149,Unknown,Dairy Product,Brussels,2024-05-28,867.48,87.7906,CFU / mL,Under Review,Leroy B.,5.0,6.59,TBD
SMPL-00150,Whole  Milk,Beverage,Nantes,2021-11-22,310.95,85.8249,g/L,Pending,Johnson R.,7.0,6.52,BATCH-8237
SMPL-00151,Apple Juice,Condiment,Lyon,2024-06-08,65.62,40.3445,ppm,Compliant,Nguyen T.,8.0,4.75,BATCH-6904
SMPL-00152,Mayonnaise,Condiment,Unknown,2020-03-03,372.47,17.7666,ppm,Pending,Unknown,5.0,5.99,BATCH-3669
SMPL-00153,Heavy Cream,Pharmaceutical,Marseille,2023-08-27,513.28,96.7142,CFU/mL,Unknown,Martin J.,4.0,7.53,BATCH-5511
SMPL-00154,Cottage Cheese,Unknown,Lille,2023-10-18,824.31,10.2402,µg / L,Pending,Unknown,2.0,8.44,BATCH-5536
SMPL-00155,Salad  Dressing,Dietary Supplement,Bordeaux,2024-04-16,899.69,80.2384,Unknown,Non-Compliant,Brown C.,4.0,5.52,BATCH-4111
SMPL-00156,Calcium Tablet,Processed Food,Nantes,2021-09-06,840.64,18.1218,Unknown,Unknown,Leroy B.,7.0,4.61,BATCH-6031
SMPL-00157,Cottage Cheese,Condiment,Lille,2022-08-21,866.39,94.4307,g / L,Compliant,Davis M.,5.0,7.85,BATCH-4281
SMPL-00158,Salad Dressing,Pharmaceutical,Bordeaux,2022-09-25,631.03,50.4388,g/L,Non-Compliant,Dupont A.,6.0,6.67,BATCH-8821
SMPL-00160,Probiotic L-12,Beverage,Nantes,2022-01-05,164.88,50.4388,g/L,Unknown,Davis M.,2.0,7.06,BATCH-7147
SMPL-00161,Probiotic B-24,Dairy Product,Paris,2024-09-08,48.24,44.437,µg/L,Unknown,Martin J.,5.0,4.0,BATCH-3247
SMPL-00162,Probiotic  L-12,Condiment,Strasbourg,2024-05-26,497.74,77.7981,g/L,Under Review,Leroy B.,6.0,8.05,BATCH-8875
SMPL-00164,Apple Juice,Dairy Product,Lyon,2023-09-20,328.66,95.5094,mg/L,Pending,Unknown,5.0,4.86,BATCH-8835
SMPL-00165,Ketchup,Dairy Product,Lyon,2020-07-31,911.23,56.8987,ppm,Unknown,Martin J.,5.0,4.06,BATCH-1753
SMPL-00166,Plain  Yogurt,Processed Food,Nantes,2022-07-12,95.24,24.8652,CFU/mL,Compliant,Unknown,8.0,7.85,BATCH-9055
SMPL-00167,Cheddar Cheese,Condiment,Montreal,2022-02-14,817.1,44.4244,mg/L,Under Review,Unknown,5.0,3.59,BATCH-1587
SMPL-00169,Unknown,Pharmaceutical,Bordeaux,2024-02-29,106.96,18.7625,CFU/mL,Under Review,Johnson R.,8.0,3.73,BATCH-3018
SMPL-00170,Calcium Tablet,Condiment,Lille,2022-12-22,553.23,58.5162,Unknown,Non-Compliant,Unknown,7.0,6.53,BATCH-7302
SMPL-00171,Orange Juice,Pharmaceutical,Toulouse,2021-08-25,804.8,60.2564,ppm,Unknown,Nguyen T.,3.0,7.07,BATCH-3173
SMPL-00172,Unknown,Condiment,Paris,2023-02-25,582.81,71.0153,ppm,Under Review,Davis M.,2.0,4.23,BATCH-4275
SMPL-00173,Mozzarella,Dietary Supplement,Unknown,2024-05-25,204.0,35.8747,Unknown,Unknown,Williams P.,5.0,4.94,BATCH-7251
SMPL-00174,Calcium Tablet,Condiment,Lyon,2021-05-29,620.56,87.0131,µg / L,Non-Compliant,Unknown,5.0,3.87,BATCH-9418
SMPL-00176,Butter,Condiment,Paris,2021-03-29,663.33,29.3645,ppm,Unknown,Martin J.,7.0,5.73,BATCH-4994
SMPL-00177,Brie,Dairy Product,Strasbourg,2024-01-22,24.71,77.0517,ppm,Under Review,Smith K.,4.0,3.91,BATCH-9814
SMPL-00178,Heavy  Cream,Processed Food,Unknown,2021-02-25,828.75,74.1401,Unknown,Non-Compliant,Brown C.,2.0,3.87,BATCH-5127
SMPL-00179,Sour Cream,Beverage,Lille,2022-04-08,316.4,50.4388,Unknown,Compliant,Johnson R.,5.0,5.01,BATCH-8170
SMPL-00180,Plain Yogurt,Pharmaceutical,Bordeaux,2022-11-03,294.98,29.8127,µg/L,Non-Compliant,Martin J.,6.0,5.47,BATCH-2394
SMPL-00181,Salad  Dressing,Dietary Supplement,Toulouse,2024-09-10,142.46,61.6923,mg/L,Unknown,Brown C.,5.0,3.84,BATCH-8982
SMPL-00182,Calcium  Tablet,Pharmaceutical,Strasbourg,2020-05-22,317.79,61.6381,ppm,Pending,Williams P.,2.0,4.73,BATCH-8145
SMPL-00183,Calcium  Tablet,Dietary Supplement,Lille,2022-01-04,486.97,64.5587,µg/L,Non-Compliant,Unknown,2.0,6.66,BATCH-7637
SMPL-00184,Whole Milk,Dietary Supplement,Bordeaux,2022-03-14,891.44,85.7178,ppm,Compliant,Johnson R.,7.0,7.74,BATCH-3717
SMPL-00185,Butter,Condiment,Lille,2020-03-23,761.47,26.4431,g / L,Pending,Unknown,2.0,8.4,BATCH-9542
SMPL-00186,Apple Juice,Condiment,Toulouse,2022-02-14,587.68,7.793,g / L,Under Review,Unknown,8.0,5.99,BATCH-8207
SMPL-00187,Iron Supplement,Pharmaceutical,Bordeaux,2022-11-01,717.3,23.0423,mg/L,Unknown,Nguyen T.,7.0,3.61,BATCH-3639
SMPL-00188,Salad Dressing,Pharmaceutical,Bordeaux,2021-03-01,958.24,50.4388,mg/L,Unknown,Unknown,3.0,7.65,BATCH-3979
SMPL-00189,Butter,Processed Food,Lille,2023-04-24,229.81,10.8659,Unknown,Under Review,Miller S.,3.0,8.01,BATCH-9706
SMPL-00190,Tetracycline,Pharmaceutical,Unknown,2022-05-11,874.82,42.9013,CFU/mL,Unknown,Miller S.,5.0,4.77,BATCH-2373
SMPL-00191,Amoxicillin,Pharmaceutical,Unknown,2022-12-06,519.76,20.5498,CFU/ML,Compliant,Williams P.,4.0,5.62,BATCH-5514
SMPL-00192,Heavy Cream,Condiment,Bordeaux,2023-02-19,483.76,57.7693,Unknown,Non-Compliant,Unknown,5.0,8.25,BATCH-9328
